userId,firstname,lastname,age,gender,ethnicity,address,state,email,contact,Education
1,aarti,sharma,52,F,Indian,Abohar,PUNJAB,aarti1@gmail.com,7328944313,Graduate in STEM
2,kapil,bhatia,66,M,Indian,Achalpur,MAHARASHTRA,kapil2@gmail.com,6063184074,Graduate in STEM
3,kishana,bai,65,F,Indian,Adilabad,ANDHRA PRADESH,kishana3@gmail.com,6937326810,Graduate in STEM
4,gaytri,devi,66,F,Indian,Adityapur,JHARKHAND,gaytri4@gmail.com,9794874789,Graduate in Business Degree
5,khurshid,sidhiki,68,M,Indian,Adoni,ANDHRA PRADESH,khurshid5@gmail.com,8833330904,Masters in STEM
6,vimal,kumar,32,M,Indian,Agartala,TRIPURA,vimal6@gmail.com,9259196573,Graduate in STEM
7,santosh,singal,31,F,Indian,Agra,UTTAR PRADESH,santosh7@gmail.com,6834041678,High School
8,firakat,ali,58,M,Indian,Ahmadabad,GUJARAT,firakat8@gmail.com,6292151295,Graduate in STEM
9,ravinder,singh rana,37,M,Indian,Ahmadnagar,MAHARASHTRA,ravinder9@gmail.com,7583879610,Graduate in STEM
10,birender,mandal,20,M,Indian,Aizawl,MIZORAM,birender10@gmail.com,8781668906,Graduate in STEM
11,munni,devi,61,F,Indian,Ajmer,RAJASTHAN,munni11@gmail.com,6376533806,High School
12,dhaneswar,dass,57,F,Indian,Akbarpur,UTTAR PRADESH,dhaneswar12@gmail.com,6597317896,Graduate in STEM
13,vinod,kumar,70,M,Indian,Akola,MAHARASHTRA,vinod13@gmail.com,8946500115,Graduate in STEM
14,tuba,fatima,37,F,Indian,Alandur,TAMIL NADU,tuba14@gmail.com,8534721572,nan
15,raja,devi,30,F,Indian,Alappuzha,KERALA,raja15@gmail.com,9113275182,High School
16,sunita,kaur,36,F,Indian,Aligarh,UTTAR PRADESH,sunita16@gmail.com,8180477870,Graduate in STEM
17,leela,dhar narang,35,M,Indian,Allahabad,UTTAR PRADESH,leela17@gmail.com,9783311999,Graduate in STEM
18,saira,bano,65,F,Indian,Alwar,RAJASTHAN,saira18@gmail.com,7636810432,Graduate in STEM
19,rabina,khatun,50,F,Indian,Ambala,HARYANA,rabina19@gmail.com,9676435054,Graduate in STEM
20,sonu,bhawsar,45,F,Indian,Ambala Sadar,HARYANA,sonu20@gmail.com,9001596965,Graduate in Arts
21,farha,parvin,61,F,Indian,Ambarnath,MAHARASHTRA,farha21@gmail.com,6051841620,Masters in STEM
22,nasrin,jaira,64,F,Indian,Ambattur,TAMIL NADU,nasrin22@gmail.com,6889616404,Masters in STEM
23,priti,tomar,57,F,Indian,Ambikapur,CHHATTISGARH,priti23@gmail.com,6356152049,Masters in STEM
24,nimla,sharama,36,F,Indian,Ambur,TAMIL NADU,nimla24@gmail.com,9037027290,Graduate in Humanities
25,neha,kumari,27,F,Indian,Amravati,MAHARASHTRA,neha25@gmail.com,6713449434,Graduate in STEM
